,nation,author,title,pubdate,gender,wordcount,word_length
A-Cather-Antonia-1918-F,A,Cather,Antonia,1918,F,97574,3.597331256277287
A-Chesnutt-Marrow-1901-M,A,Chesnutt,Marrow,1901,M,110288,3.6372769476280284
A-Crane-Maggie-1893-M,A,Crane,Maggie,1893,M,28628,3.684050579851893
A-Davis-Life_Iron_mills-1861-F,A,Davis,Life Iron mills,1861,F,18789,3.437702911277875
A-Dreiser-Sister_Carrie-1900-M,A,Dreiser,Sister Carrie,1900,M,194062,3.628695983757768
A-Hawthorne-Scarlet_Letter-1850-M,A,Hawthorne,Scarlet Letter,1850,M,99654,3.933640395769362
A-Howells-Silas_Lapham-1885-M,A,Howells,Silas Lapham,1885,M,163414,3.3652869399194683
A-James-Golden_Bowl-1904-M,A,James,Golden Bowl,1904,M,257750,3.5751619786614937
A-Jewett-Pointed_Firs-1896-F,A,Jewett,Pointed Firs,1896,F,51817,3.4414960341200764
A-London-Call_Wild-1903-M,A,London,Call Wild,1903,M,37405,3.769629728645903
A-Melville-Moby_Dick-1851-M,A,Melville,Moby Dick,1851,M,260961,3.74010292725733
A-Norris-Pit-1903-M,A,Norris,Pit,1903,M,157730,3.5115323654346033
A-Twain-Huck_Finn-1885-M,A,Twain,Huck Finn,1885,M,141276,3.0715195786970186
A-Wharton-Age_Innocence-1920-F,A,Wharton,Age Innocence,1920,F,124177,3.7648517841468228
B-Bronte-Jane_Eyre-1847-F,B,Bronte,Jane Eyre,1847,F,227994,3.5838618560137547
B-Bronte-Wuthering_Heights-1847-F,B,Bronte,Wuthering Heights,1847,F,145832,3.538537495199956
B-Collins-Woman_White-1860-M,B,Collins,Woman White,1860,M,292613,3.7342462570015686
B-Conrad-Heart_Darkness-1902-M,B,Conrad,Heart Darkness,1902,M,46724,3.580429757726222
B-Dickens-Bleak_House-1853-M,B,Dickens,Bleak House,1853,M,435141,3.54786149776739
B-Disraeli-Sybil-1845-M,B,Disraeli,Sybil,1845,M,189057,3.842190450499056
B-Eliot-Middlemarch-1869-F,B,Eliot,Middlemarch,1869,F,377932,3.8335308997385775
B-Gaskell-Cranford-1853-F,B,Gaskell,Cranford,1853,F,84310,3.675103783655557
B-Gissing-Grub_Street-1893-M,B,Gissing,Grub Street,1893,M,227113,3.6228617472359574
B-Hardy-Tess-1891-M,B,Hardy,Tess,1891,M,180709,3.7319945326464095
B-Stevenson-Treasure_Island-1883-M,B,Stevenson,Treasure Island,1883,M,84937,3.3488938860567243
B-Thackeray-Vanity_Fair-1848-M,B,Thackeray,Vanity Fair,1848,M,367914,3.745810162157461
B-Trollope-Live_Now-1875-M,B,Trollope,Live Now,1875,M,421669,3.5964085574230023
B-Wells-Time_Machine-1895-M,B,Wells,Time Machine,1895,M,37965,3.798972738048202
